id,"action_time",user_id,content_type_id,"object_id","object_repr",action_flag,"change_message"
1,"2013-06-07 14:03:09",1,8,"1","Guitarra",1,""
2,"2013-06-07 14:03:12",1,8,"2","Bateria",1,""
3,"2013-06-07 14:03:31",1,9,"1","Fender",1,""
4,"2013-06-07 14:03:51",1,10,"1","Guitarra A",1,""
5,"2013-06-07 14:04:01",1,9,"2","King",1,""
6,"2013-06-07 14:04:07",1,10,"2","Guitarra B",1,""
7,"2013-06-07 14:04:27",1,9,"3","Tong",1,""
8,"2013-06-07 14:04:33",1,10,"3","Bateria A",1,""
9,"2013-06-07 14:04:45",1,9,"4","Kyoge",1,""
10,"2013-06-07 14:04:52",1,10,"4","Bateria B",1,""
11,"2013-06-07 14:05:43",1,11,"1","Sem máscara",1,""
12,"2013-06-07 14:06:04",1,12,"1","Cor guitarra",1,""
13,"2013-06-07 14:06:23",1,12,"2","Tipo da Madeira",1,""
14,"2013-06-07 14:06:39",1,11,"2","Inteiro",1,""
15,"2013-06-07 14:06:42",1,12,"3","Quantidade de pratos",1,""
16,"2013-06-07 14:08:04",1,11,"3","Booleano",1,""
17,"2013-06-07 14:08:19",1,12,"4","Bateria eletrônica",1,""
18,"2013-06-07 14:08:37",1,13,"1","Vermelha",1,""
19,"2013-06-07 14:08:48",1,13,"2","Madeira A",1,""
20,"2013-06-07 14:09:00",1,13,"3","Amarela",1,""
21,"2013-06-07 14:09:11",1,13,"4","Madeira B",1,""
22,"2013-06-07 14:09:21",1,13,"5","Sim",1,""
23,"2013-06-07 14:09:30",1,13,"6","4",1,""
24,"2013-06-07 14:09:41",1,13,"7","Madeira B",1,""
25,"2013-06-07 14:09:56",1,13,"8","Não",1,""
26,"2013-06-08 17:47:57",1,8,"3","Bandolim",1,""
27,"2013-06-08 17:48:01",1,8,"4","Saxofone",1,""
28,"2013-06-08 17:48:05",1,8,"5","Teclado",1,""
29,"2013-06-08 17:48:10",1,8,"6","Violão",1,""
30,"2013-06-08 17:48:13",1,8,"7","Flauta",1,""
31,"2013-06-08 17:48:19",1,8,"8","Violino",1,""
32,"2013-06-08 18:15:59",1,14,"2","Fender Guitar",1,""
33,"2013-06-08 18:16:42",1,14,"3","King Guitar",1,""
34,"2013-06-08 18:17:13",1,14,"4","Sonor",1,""
35,"2013-06-08 18:17:50",1,14,"5","Mapex Drums",1,""
36,"2013-06-08 18:18:58",1,14,"6","Gibson",1,""
37,"2013-06-12 13:43:52",1,10,"5","Guitarra do nicolas",1,""
38,"2013-06-12 13:44:36",1,13,"9","Vermelha",1,""
39,"2013-06-14 12:57:11",1,8,"9","Harpa",1,""
40,"2013-06-14 12:57:25",1,10,"6","Harpa da Joice",1,""
41,"2013-06-14 12:58:07",1,12,"5","Cor do instrumento",1,""
42,"2013-06-14 12:58:22",1,12,"6","Quantidade de cordas",1,""
43,"2013-06-14 16:28:36",1,12,"7","Quantidade de cordas",1,""
44,"2013-06-14 16:29:10",1,12,"8","Categoria",1,""
45,"2013-06-14 16:29:25",1,12,"9","Sub-categoria",1,""
46,"2013-06-14 16:29:52",1,12,"10","Modelo",1,""
47,"2013-06-14 16:51:29",1,12,"11","Modelo",1,""
48,"2013-06-14 16:52:17",1,12,"1","Cor guitarra",2,"Modificado tabela_relacionamento."
49,"2013-06-14 16:52:52",1,12,"5","Cor do instrumento",2,"Modificado tabela_relacionamento."
50,"2013-06-14 19:38:06",1,12,"2","Tipo da Madeira",2,"Modificado possui_relacionamento e tabela_relacionamento."
51,"2013-06-15 14:44:39",1,10,"7","GUITARRA IGOR 4V",1,""
52,"2013-06-15 14:45:40",1,8,"10","Violoncelo",1,""
53,"2013-06-15 14:46:19",1,12,"12","Quantidade de cordas",1,""
54,"2013-06-15 14:47:00",1,12,"13","Cor do instrumento",1,""
55,"2013-06-15 14:47:23",1,12,"14","Tipo da madeira",1,""
56,"2013-06-17 14:05:55",1,12,"15","Tipo da madeira",1,""
57,"2013-06-17 15:24:08",1,11,"2","Inteiro não negativo",2,"Modificado nome e mascara."
58,"2013-06-17 15:24:59",1,11,"3","Booleano",2,"Modificado mascara."
59,"2013-06-17 15:25:12",1,11,"1","Sem máscara",2,"Modificado mascara."
60,"2013-06-17 15:28:30",1,12,"16","Guitarra elétrica",1,""
61,"2013-06-17 15:30:52",1,12,"16","Guitarra elétrica",3,""
62,"2013-06-18 12:14:09",1,10,"1","Guitarra A",2,"Modificado foto."
63,"2013-06-19 12:02:08",1,12,"1","Cor da guitarra",2,"Modificado nome."
64,"2013-06-23 20:29:26",1,8,"6","Violão",2,"Adicionado tipo caracteristica \"Quantidade de cordas\" Adicionado tipo caracteristica \"Cor do instrumento\" Adicionado tipo caracteristica \"Tipo da madeira\""
65,"2013-06-26 12:11:22",1,10,"8","Violão do Guilherme",1,""
66,"2013-06-28 15:58:36",1,8,"1","Guitarra",2,"Deletado tipo caracteristica \"Modelo\"."
67,"2013-07-02 14:46:54",1,8,"11","Viola",1,""
68,"2013-07-02 14:50:59",1,10,"9","asdf",1,""
69,"2013-07-04 20:34:40",1,8,"2","Bateria",2,"Modificado tipo_campo, possui_relacionamento e tabela_relacionamento para tipo caracteristica \"Bateria eletrônica\"."
